seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,interpretability_case,self_loop_penalty,sink_state_penalty,parallel_edge_penalty,runtime,precision,recall,f1,states,status,error_message
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,standart,,,,0.763775110244751,0.9847389558232932,0.9745627980922098,0.979624450659209,3,success,
75385,15,both_bounds,,0.058,0.059,0.058344593424106986,standart,,,,1.5436210632324219,0.9992254066615027,0.9961389961389961,0.9976798143851509,3,success,
9471,15,both_bounds,,0.058,0.059,0.058679508944554155,standart,,,,4.369086980819702,0.34852118305355717,0.344391785150079,0.34644417957886375,3,success,
114,15,both_bounds,,0.058,0.059,0.05851782558985552,standart,,,,4.938731908798218,0.9944838455476753,0.9859375,0.9901922322479404,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,standart,,,,7.203950881958008,0.9975825946817083,0.9817605075337034,0.9896083133493205,3,success,
37843,15,both_bounds,,0.058,0.059,0.058714155377703865,standart,,,,14.023684978485107,1.0,0.9960411718131433,0.9980166600555335,3,success,
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,standart,,,,15.697164058685303,0.9771801140994295,0.9844006568144499,0.9807770961145195,3,success,
51338,15,both_bounds,,0.059,0.06,0.05922230306389957,standart,,,,18.270309925079346,0.11,0.10828547990155865,0.10913600661430344,3,success,
58283,15,both_bounds,,0.059,0.06,0.059095266142350646,standart,,,,26.508280038833618,0.9828571428571429,0.9788617886178862,0.9808553971486762,3,success,
45,15,both_bounds,,0.058,0.059,0.05848317915670582,standart,,,,27.09982204437256,1.0,0.995323460639127,0.99765625,3,success,
84787,15,both_bounds,,0.058,0.059,0.05873725299980367,self_loops,0.05,,,42.27676606178284,0.9895076674737692,0.972244250594766,0.9808,3,success,
98846,15,both_bounds,,0.058,0.059,0.05877189943295338,self_loops,0.05,,,71.16652703285217,0.9887369267900241,0.9769475357710652,0.9828068772491003,3,success,
9178,15,both_bounds,,0.059,0.06,0.05923385187494947,self_loops,0.05,,,72.819748878479,1.0,0.9950738916256158,0.9975308641975309,3,success,
