seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
26253,0,1,2,,distance,levenshtein,0.02606201171875,0.875,1.0,0.9333333333333333,2,success,
56085,0,1,7,,distance,levenshtein,0.24789094924926758,0.875,1.0,0.9333333333333333,7,success,
39871,0,1,7,,distance,levenshtein,0.1911940574645996,1.0,1.0,1.0,7,success,
89149,0,1,4,,distance,levenshtein,0.03506898880004883,1.0,1.0,1.0,4,success,
51134,0,1,3,,distance,levenshtein,0.0332179069519043,0.6363636363636364,1.0,0.7777777777777778,3,success,
32584,0,1,4,,distance,levenshtein,0.17551207542419434,0.875,1.0,0.9333333333333333,4,success,
75385,0,1,3,,distance,levenshtein,0.027704954147338867,0.875,1.0,0.9333333333333333,3,success,
7239,0,1,7,,distance,levenshtein,0.22345685958862305,0.7777777777777778,1.0,0.875,7,success,
33653,0,1,2,,distance,levenshtein,0.020880937576293945,0.7777777777777778,1.0,0.875,2,success,
39161,0,1,5,,distance,levenshtein,0.26902008056640625,0.875,1.0,0.9333333333333333,5,success,
8988,0,1,5,,distance,levenshtein,0.1389789581298828,0.875,1.0,0.9333333333333333,5,success,
15852,0,1,3,,distance,levenshtein,0.03688693046569824,0.875,1.0,0.9333333333333333,3,success,
37843,0,1,5,,distance,levenshtein,0.23218703269958496,0.875,1.0,0.9333333333333333,5,success,
29382,0,1,2,,distance,levenshtein,0.04819011688232422,1.0,1.0,1.0,2,success,
55151,0,1,7,,distance,levenshtein,0.24017095565795898,1.0,1.0,1.0,7,success,
11298,0,1,6,,distance,levenshtein,0.10839295387268066,0.875,1.0,0.9333333333333333,6,success,
88322,0,1,2,,distance,levenshtein,0.019516944885253906,0.875,1.0,0.9333333333333333,2,success,
87228,0,1,5,,distance,levenshtein,0.08123183250427246,0.7777777777777778,1.0,0.875,5,success,
93344,0,1,5,,distance,levenshtein,0.16262602806091309,1.0,1.0,1.0,5,success,
97635,0,1,6,,distance,levenshtein,0.14368486404418945,1.0,1.0,1.0,6,success,
162,0,1,4,,distance,levenshtein,0.13626885414123535,0.7,1.0,0.8235294117647058,4,success,
58283,0,1,6,,distance,levenshtein,0.10789108276367188,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,success,
31055,0,1,5,,distance,levenshtein,0.11268186569213867,0.7777777777777778,1.0,0.875,5,success,
9471,0,1,7,,distance,levenshtein,0.19903016090393066,1.0,1.0,1.0,7,success,
68503,0,1,2,,distance,levenshtein,0.026220083236694336,0.875,1.0,0.9333333333333333,2,success,
75385,0,1,4,,distance,levenshtein,0.042143821716308594,0.875,1.0,0.9333333333333333,4,success,
58656,0,1,4,,distance,levenshtein,0.10581588745117188,0.7777777777777778,1.0,0.875,4,success,
33653,0,1,3,,distance,levenshtein,0.032521963119506836,0.7777777777777778,1.0,0.875,3,success,
79121,0,1,2,,distance,levenshtein,0.02293992042541504,1.0,1.0,1.0,2,success,
12153,0,1,7,,distance,levenshtein,0.19676518440246582,0.875,1.0,0.9333333333333333,7,success,
70332,0,1,6,,distance,levenshtein,0.18683481216430664,1.0,1.0,1.0,6,success,
84787,0,1,5,,distance,levenshtein,0.08040714263916016,0.7777777777777778,1.0,0.875,5,success,
89149,0,1,5,,distance,levenshtein,0.07253193855285645,1.0,1.0,1.0,5,success,
45,0,1,2,,distance,levenshtein,0.022038936614990234,1.0,1.0,1.0,2,success,
69007,0,1,2,,distance,levenshtein,0.016270160675048828,0.7777777777777778,1.0,0.875,2,success,
72994,0,1,6,,distance,levenshtein,0.15001416206359863,0.875,1.0,0.9333333333333333,6,success,
6886,0,1,4,,distance,levenshtein,0.09704089164733887,1.0,1.0,1.0,4,success,
26253,0,1,3,,distance,levenshtein,0.09881091117858887,0.875,1.0,0.9333333333333333,3,success,
